Q202042	euskaltzaindia
Q584777	bodadeg_ar_sonerion
Q28048287	unknown_man_formerly_known_as_edward_seymour_st_duke_of_somerset
Q30136586	q
Q22662766	michael_countryman
Q1053614	center_for_strategic_and_international_studies
Q209549	nd_arrondissement_of_paris
Q597782	antoni_melchior_fija_kowski
Q81213	gerlachovsk_t_t
Q2285124	r_me
Q42309522	emanuele_arioli
Q3369474	patrick_gaubert
Q21703511	q
Q123573	canton_of_saint_paterne
Q930632	hms_shropshire
Q3659880	carlo_tagnin
Q10818461	vy_ehradsk_railway_bridge
Q1285626	edmond_hamilton
Q750675	belfries_of_belgium_and_france
Q431564	marian_seldes
Q110465	reinhard_wolters
Q2527619	virchow
Q7159	african_union
Q1285628	edmond_haraucourt
Q30083535	q
Q54543	helen_wills
Q553318	jimmer_fredette
Q12030718	q
Q27212252	three_studies_for_sculpture
Q24349120	leti_ia_stoian
Q517360	stina_aronson
Q29534177	q
Q28925833	jack_leunissen
Q18845034	way_of_peace
Q3301235	maurice_palun
Q33530840	q
Q27556683	q
Q3357220	oshen
Q28720018	eura_municipal_council
Q22249346	teresa_giermak_zieli_ska
Q161247	augusta_victoria_of_schleswig_holstein
Q337301	john_lyng
Q41777897	kiyoto_kohiyama
Q27556688	q
Q4711909	alberto_abadie
Q28720014	enonteki_municipal_council
Q20510512	q
Q1672366	iraqi_communist_party
Q31499298	q
Q11906344	aracus
Q15610069	raiffeisenstra_e
Q169098	frank_rijkaard
Q1012362	tr_bry
Q3840199	luigi_tentorio
Q21632070	national_institute_for_typographic_research
Q1900708	maksim_reznik
Q2054190	vno_ncw
Q125168	marshal_of_the_soviet_union
Q24282792	q
Q33474882	q
Q16533865	bruno_bozzolo
Q38150032	q
Q548921	tommy_mottola
Q3386869	pierre_rousseau
160814.7275	
Q38150038	q
Q24027604	ion_ghia
Q184047	aubagne
Q1942	s_bastien_squillaci
Q18541959	adrian_mocanu
Q3702162	danilo_d_ambrosio
Q37805329	residencial_del_bosque
Q5063328	agu
Q79750	decatur
Q16528556	arnaldo_carito
Q175057	fernando_de_noronha
Q3611297	alfred_peterly
Q175055	place_de_la_r_publique
Q370026	percy_herbert
Q28726687	rusko_municipal_council
Q370024	ronald_de_witte
Q122229	martin_buser
Q24699935	q
Q24699932	q
Q33615724	q
Q777287	ali_hewson
Q1058939	bortolo_mutti
Q33317448	q
Q299842	antonia_kidman
Q601902	antonio_esposito
Q659564	louis_ii_of_melun_duke_of_joyeuse
Q20731589	heremoana_maamaatuaiahutapu
Q28916914	q
Q28726683	ristij_rvi_municipal_council
Q3733986	ettore_perani
Q18336548	sander_loones
Q37459652	q
Flag%20of%20Rwanda.svg	http_commons_wikimedia_org_wiki_special_filepath_flag_of_rwanda_svg
Q27067481	priscilla_k_s_fawcett
Q18607739	q
Q17324059	bombardment_of_algiers_by_the_united_anglo_dutch_naval_squadron
Q301609	suhrkamp_verlag
Q23015829	q
Q665779	tordouet
Q238990	united_states_holocaust_memorial_museum
Q57441	ram_baran_yadav
Q57445	g_nter_schabowski
Q13646	sncf
Q57447	udo_voigt
Q57446	pranab_mukherjee
Q1541410	paolo_carosi
Q86930	friedrich_mandl
Q272008	andrew_tyrie
fiz	fiz
Q15446662	volker_watzka
Q33421242	q
Q241115	elke_sommer
Q1681802	jan_hable
50419	
Q160112	museo_del_prado
Q160115	ai_weiwei
Q160116	alexander_iii
Q160119	darkthrone
Q1157089	gianluca_festa
Q3341044	nicole_ferroni
Q3341045	nicole_feidt
Q11914737	vlastimil_ba_inka
50415	
50414	
Q458188	lisa_eichhorn
1786-01-01T00:00:00Z	t_z
Q4865824	bart_omiej_widerski
Q22999564	q
Q42432307	olivier_beth
Q6456330	juan_p_rez_mercader
Q11860	silvio_berlusconi
Q3344701	q
Q22712341	cartouche_with_the_bust_of_nicolas_poussin_in_a_flower_garland
Q172724	bernie_ecclestone
Q2080087	edimar_fraga
Q33252981	q
Q11869	william_henry_harrison
Q172720	dani_alves
Q980775	christian_amoroso
Q172722	renault_f
Q94291	tactical_air_command
Q33411941	q
46138	
Q13475958	fdgb_pokal_in_badminton
Q15094262	filip_noga
Q15437915	georg_zanger
Q42302430	carmen_valero_gimeno
Q371370	australian_defence_force_academy
Q1144086	legionowo_county
Q13475957	fdgb_pokal_in_badminton
Q4710292	albert_gaspard_grimod
Q36992078	gr_goire_montalant
Q10875569	ecogreen_international_group_limited
Q237858	isabella_of_england
Q11994910	paul_gebhardt
Q130852	junichiro_koizumi
Q24083113	gheorghe_florescu
Q26091554	marius_vasile_screciu
Q24083114	vintil_chercea
Q2130467	ram_n_carretero
Q935956	fc_metalurh_zaporizhya
Q16989325	ulla_maija_m_tt_nen
Q466703	debora_caprioglio
Q33421864	q
Q12519	magna_carta
Q42883016	iulian_iliescu
Q22083381	allegorical_composition_with_offering_scene
Q3502346	gueorgui_pinkhassov
Q7183151	philip_ayckbourn
Q275356	corcelles
Q17321722	portrait_of_johanna_van_rijswijk_born_wife_of_jan_hendrik_van_rijswijk
Q12736752	nicolae_sulac
Q2547357	walter_neye
Q12515	gard
Q12517	gers
Q17322822	portrait_of_a_man_probably_cornelis_troost
Q576709	michele_emiliano
Q793000	etelka_benk
Q1088773	giuseppe_zaniboni
Q10898286	le_saunda_holdings_limited
Q9709444	cathedral_alc_zar_and_archivo_de_indias_in_seville
Q28049026	charles_lamb
Q4439888	ivan_starikov
Q16426810	movila
Q17061263	q
Q4458348	tittenhurst_park
Q27534009	q
Q2542770	younous_omarjee
Q29384796	tahitian_faces_frontal_view_and_profiles
Q94831	blake_shelton
Q77208	horst_bienek
Q21600417	the_visitation
Q4799804	arthur_n_holcombe
Q77204	joseph_freiherr_von_eichendorff
Q31032246	q
Q29385231	confronted_animal_rug
Q1634290	walter_hooper
Q511975	vesthimmerland_municipality
Q27511090	q
Q1401301	hugh_duke_of_alsace
Q13883269	leonhard_holzhalb
Q23910039	vasile_bratosin
Q173454	ren_l_vesque
Q20734827	charles_albert_van_der_burch
Q20734825	kees_raedts
Q20734822	bert_van_kuik
Q20734820	barend_van_dam
Q20734821	bert_schwarz
Q29385944	reliefs_from_the_tomb_of_nespekashuty
Q5059649	r_inari
Q21680	ancy_sur_moselle
Q812444	q
Q676931	puyo_pastaza
Q25913322	walther_kr_ner
1493-01-01T00:00:00Z	t_z
Q503361	malm_municipality
Q30803988	q
Q105457	johannes_andreas_jolles
Q4061153	q
Q30159248	q
Q18638333	ellen_halverson
Q96476	andreas_st_berl
Q20085778	aad_van_der_vaart
Q758442	hp_btp_auber
Q20679312	thomas_dwight_goodell
Q1618297	hildebrecht_hommel
Q90343	robert_atzorn
Q31983720	q
Q17442894	pafos_fc
Q16981007	flight_control_command
Q1934544	mao_xinyu
Q33135423	q
Q53002	fran_ois_truffaut
Q27511096	q
Q3702189	danilo_michelini
Q27554212	q
Q26651576	q
Q104582	victor_grignard
Q17321039	portrait_of_johan_ernst_i_count_of_nassau_siegen
Q27554217	q
Q7395805	sabac_red
Q104587	kyjov
Q1052320	takashi_yamazaki
Q27554219	q
Q37452744	q
Q40162	kate_capshaw
Q1086856	chris_montgomery
Q34448238	jacob_king
Q772391	peterson_air_force_base
Q3503437	ming_xia
Flag%20of%20Bulgaria.svg	http_commons_wikimedia_org_wiki_special_filepath_flag_of_bulgaria_svg
Q9398575	ministry_of_land_infrastructure_and_transport_korea
Q372858	ciriaco_sforza
Q37029291	q
Q1318756	world_figure_skating_championships
Q1318757	franco_battisodo
noo	noo
Q28042062	unknown_woman_formerly_known_as_margaret_pole_countess_of_salisbury
Q708914	thomas_chittenden
Q28052303	sir_james_whyte_black
Q1060919	les_essarts
Q17331398	portrait_of_dieuwke_fontein_second_wife_of_adriaan_van_der_hoop
Q32272311	q
Q28042065	king_henry_viii
Q2493941	juha_janhunen
Q28042069	king_henry_viii
Q17324285	landscape_with_herdsmen_and_cattle
Q2548011	massimo_paci
Q29957165	jaakko_astola
Q17324286	portrait_of_johan_hendrick_louis_meyer_marine_painter
Q1605961	henri_montan_berton
Q30553163	q
Q33524201	q
Q23906525	q
Q33135428	q
Q231844	marie_jos_phine_of_savoy
Q17324288	the_archangel_gabriel_appearing_to_zacharias
Q33524207	q
Q23906520	q
Q17327959	cows_in_the_meadow
Q103268	gregory_iii
Q17327950	the_goatherdess
Q30939506	q
Q1846745	academisch_ziekenhuis_utrecht
Q26955636	fran_ois_vauglin
Q6121514	q
Q38037489	q
Q28048697	rudolph_ackermann
Q33398212	q
Q28048693	henry_dundas_st_viscount_melville
Q39574	candice_accola
Q2870628	aubrey_morris
Q29017682	q
Q21779582	dintelhaven_railway_bridge
Q15622202	gracie_elvin
Q4412009	ryo_ishibashi
Q41357625	virginie_dumanoir
Q796840	bnr_newsradio
Q28049565	william_makepeace_thackeray
Q32132681	q
Q28049560	john_martin
Q1539682	antonio_caprioli
Q26272196	emil_ioan_r_teiu
Q18572845	frederik_penne
Q4523794	athanasius_petrovich_shilin
Q944643	mladen_ivani
Q16668233	jules_alphonse_cousin
Q104326	jean_michel_jarre
Q104322	karl_friedrich_von_der_goltz
Q10292830	salle_des_tats
Q1636748	amblimation
Q777165	albert_r_ville
tidy-html5	https_github_com_htacg_tidy_html
Q1281335	giuliana_rancic
Q40787	nicholas_ii_of_russia
Q435651	alte_kantonsschule_aarau
Q1578311	hans_werner_kammer
Q33527150	q
Q40780	acre
Q1578315	hans_werner_k_blitz
2.71	
Q3763653	gianni_toppan
Q42301570	rita_van_driel
Q1645264	manolis_papathomopoulos
Q4716438	alessandro_turchetta
Q7341638	robert_atkins
Q30769573	q
Q108597	dave_brubeck
Q451864	go_kameyama
Q2073545	armenia
Q739285	sita_sings_the_blues
Q38091616	q
Q6440133	krzysztof_gawara
Q13052499	q
Q10322797	mackenzie_bezos
16092	
Q23749037	gheorghe_baba_iana
Q3621521	archibald_selwyn
Q1718682	klaus_lohmann
Q72322	johannes_otzen
Q30070077	q
Q8343760	historic_centre_of_the_town_of_diamantina
Q8343761	historic_centre_of_the_town_of_goi_s
Q8343766	historic_center_of_quito
Q8343767	historic_centre_of_santa_cruz_de_mompox
Q5809	che_guevara
Q554603	herod_of_chalcis
Q8343768	historic_centre_of_s_o_lu_s
Q1364098	bourg_de_thizy
Q677683	tages_anzeiger
Q26691167	mitru_le_e
Q329183	anastasios_christomanos
Q1022831	s_nt_m_ria_orlea
Q950199	vladimir_rebikov
Q1022837	pui
Q21538455	wind_magazine
Q981418	preston_foster
Q1188501	victoria_nuland
Q44323	adolf_loos
Q27778323	q
Q1446844	antonio_bogoni
Q44329	bashar_al_assad
Q15830543	chokwe_lumumba
Q27518854	q
88029	
Q29383646	pan
Q38051050	q
Q2099046	playfair
Q310309	bernard_le_bovier_de_fontenelle
Q504689	j_nk_ping_municipality
Q266820	cindy_williams
Q38138347	q
Q24568379	q
Q38138342	q
Q333520	david_mundell
Q16380898	q
Q28051865	richard_joseph_downey
Q817291	beniamino_vignola
Q30721144	q
PA97200015	pa
Q394443	polonnaruwa
Q1222567	dieter_n_rr
Q394447	agnes_alpers
Q15858260	maria_vos
Q110318	johannes_vollmer
Q29239480	bruno_tshibala
Q295512	carlos_gamarra
Q33404089	q
Q295516	joseph_campbell
Q1345163	john_conte
Q78118	adolf_michaelis
Q27512298	q
Q1244227	fernmeldeturm_mannheim
Q4972535	kristina_persson
Q33526206	q
Q1147514	fort_mandan
Q19905180	the_crucifixion
Q42320317	felice_abriani
Q8016445	william_p_c_barton
Q440145	george_lincoln_rockwell
Q1349175	alexander_rumyantsev
Q22329196	aviv_yechezkel
Q440149	nij
76164	
Q182882	john_james_audubon
Q6075577	pierre_th_z
Q27988536	cityscape
Q24089358	mihai_moraru
Q3329392	q
Q31451786	q
517,1978	
Q145065	lyudmila_pavlichenko
Q113648	robert_siegismund_schanz
Q24089353	petric_chiriac
Q1631739	flavio_emoli
Q1588413	harvey_bainbridge
Q30105916	q
Q2021874	new_party
Q2156711	robert_c_o_brien
Q21623978	larissa_j_taylor
Q11451367	ky_shir_and
Q21932100	ana_mari_cauce
Q25161	roald_dahl
Q21010034	henk_lambers
Q537850	communist_party_of_belgium
Q537853	carmel
Q137911	joyce_quin_baroness_quin
Q27881014	senate
Q12092501	steshenko_family_street
Q1275381	zagreb_orthodox_cathedral
Q106361	jenny_mai_nuyen
Q3992587	tomaso_luis_volpi
Q436384	muriel_box
Q2004296	nuel_belnap
Q3609968	alessandro_de_magistris
Q27560625	q
Q108935	mary_steenburgen
Q11901343	viinikka
Q206747	ziv_koren
Q37177163	q
Q1490	tokyo_prefecture
Q1491	la_paz
Q1492	barcelona
Q681029	werd
Q108938	fritz_schwitzgebel
Q29956398	sarah_soilihi
Q30074239	q
Q8193470	albert_dou
Q956927	football_association_of_cuba
Q3866310	paul_wong
Q24566659	q
Q21402108	cecilio_salazar
Q16798520	yves_michel
Q33317383	q
Q508156	viktor_vasilyev
Q11979715	j_rgen_s_rensen
Q7395020	sunevision
Q1237489	ovinius_paternus
Q11979712	j_rgen_reitan
Q13636847	johannes_schwend
Q1080099	christian_hacke
Q33243425	q
Q4283263	mary_paley_marshall
Q3379071	philip_ruddock
Q608293	woodstock
Q20717678	greifensee_storen_wildsberg
Q20717679	meilen_rorenhaab
Q24506009	aaron_persky
Q1367362	sergio_cervato
Q679083	aleksandr_mikhailovich_of_tver
Q34216134	q
Q33310372	q
Q26240091	aurel_jivan
Q1978910	gerald_ii_of_armagnac
Q4114829	q
Q21979648	parcoul_chenaud
Q21979649	pays_de_belv_s
Q21979646	coux_et_bigaroque_mouzens
Q12580794	c_a_p
Q21979645	brant_me_en_p_rigord
Q21979642	montm_rac
Q685377	w_r_grace_building
Q21979640	genac_bignac
Q6273875	jonathan_meades
Q16593781	gabriela_firea
Q20978475	trine_haug
Q20427642	horison
Q23902787	q
Q24566654	q
Q23902785	q
Q23902784	q
Q16427657	poroschia
Q23902782	q
Q33255017	q
Q16427654	plosca
Q21072691	javier_checa_gonzalez
Q19839032	skolnick
Q19839031	brendan_mack_hagin
Q19839030	ed_cole
Q263501	debbie_allen
Q11980834	kjell_b_rre_hansen
Q491319	anders_wiman
Q33391	leon_trotsky
Q1085697	saint_disdier
Q1362858	esko_sepp_nen
Q572478	reghin
Q16426386	slobozia_moar
Q11770203	mariusz_sieniewicz
Q4365591	q
Q33248767	q
Q28048616	charles_lamb
Q4738632	alyce_cleese
Q30240396	q
Q11939783	q
Q2829894	alain_gu_d
Q33525962	q
Q3052772	emmanuel_macron
Q27536268	q
Q2337078	ioannis_theodorakopoulos
Q24031577	liza_rachetto
Q4976947	anna_sandstr_m
Q194668	le_change
Q31996064	q
Q275759	dina_spybey
Q4731714	allen_j_scott
Q31064560	q
Q17341594	portrait_of_marie_jeanette_de_lange
Q3238	tegucigalpa
Q27532938	q
Q3022856	denis_papas
Q11939780	paysage
Q1972521	people_s_progressive_party
Q31444656	q
Q5246749	deanna_favre
Q3237	r_gen
Q1459583	peter_copley
Q27576821	q
Q2079362	florent_balmont
Q29383989	two_bronze_helmets
Q4468016	yelena_tyapkina
Q10310117	jos_melo_de_oliveira
Q29383982	ganymede_jewelry
Q28045123	joseph_addison
Q28045120	jonathan_swift
Q284777	western_washington_university
Q3181509	john_floyer
Q29383987	group_of_four_vases
Q29383985	set_of_jewelry
Q1725909	canton_of_lille_est
Q1725908	canton_of_lille_centre
Q27044250	montval_sur_loir
Q30082078	q
Q27044253	vaux_d_amognes
Q30034820	q
Q5361449	elisabeth_delatour_pr_val
Q105840	hans_leisegang
Q27534711	q
Q30081520	q
Q3130370	henri_emmanuel_de_roquette
Q10948002	wang_on_group_limited
Q27534717	q
Q22006744	q
Q27534719	q
Q27534718	q
Q37169625	q
Q27639003	manuel_ram_rez_s_nchez
Q739302	production
Q16426529	terpezi_a
Q6138026	james_lew
Q22336436	mirco_corrado_frapporti
Q16426522	sopot
Q12631383	q
Q5054221	gro_ii_ible_ului
Q1445187	franklin_clark_fry
Q5789138	hans_hansson
16257	
Q1455923	takakazu_ishii
Q15020856	julieta_castellanos
Q280936	jacques_philippe_le_bas
Q22814950	q
Q1678408	paul_brown
Q6775	h_ckendorf
Q19884138	angelo_pellacani
Q805475	balmer
Q38038390	q
Q11939787	q
Q12288492	q
Q11220	united_states_navy
Q573709	anthony_newley
Q22502	taiwan_island
Q843261	c_teaux_abbey
Q38024689	futurumshop_nl_polaris
Q193714	mandatory_palestine
Q1581237	com_die_italienne
Q193716	cypriot_pound
Q37293989	q
Q37302445	q
Q4684009	adobe_world_headquarters
Q24568889	q
Q30785122	q
Q539072	anghel_iord_nescu
Q17331378	madonna_of_humility
Q964973	maryan_wisnieski
Q16745669	fortified_lutheran_church_of_prejmer
Q3867356	alfred_lagerheim
Q30716503	q
Q2160202	ade_edmondson
Q843103	dickin_medal
Q27908252	hartmut_worch
Q2895933	benigno_dalmazzo
Q434905	edward_everett
Q434907	loredana_bert
Q265104	hubert_lyautey
Q27561575	q
Q4951	court_of_justice_of_the_european_union
Q4074782	q
Flag%20of%20the%20Pitcairn%20Islands.svg	http_commons_wikimedia_org_wiki_special_filepath_flag_of_the_pitcairn_islands_svg
Q162084	torez
Q7132169	paolo_castelli
Q7132168	paolo_castellazzi
Q1120190	communaut_urbaine_angers_loire_m_tropole
Q1034251	h_r_u
Q6685411	lou_busch
Q95417	altes_stadthaus_berlin
Q95410	horst_siebert
Q180810	mtskheta
Q27915871	king_sigismund_university
Q36859731	q
Q1369795	anita_yuen
Q143058	christian_historical_union
Q29398639	q
Q319212	karl_guthe_jansky
Q33543058	q
Q21179298	ion_melinte
Q23728730	ion_samoil
Q3609106	aldo_aniasi
Q23728733	florin_niculae
Q23728736	adrian_eduard_stoica
Q23728737	gheorghe_petre
Q332859	roger_freeman_baron_freeman
Q28790116	albert_kirakosyan
Q7691561	lotto_kern_haus
Q5055170	cup_eni
Q4289145	james_mace
Q18244921	christina_abrahamsdotter_brahe
Q54062	s
Q1256648	rosine_regina_ahles
Q961225	jozef_de_kesel
Q961226	laurette_spang_mccook
Q6088451	albert_sahlin
Q5672840	harry_thurston_peck
Q28001376	artist_portrait_so_called_self_portrait
Q1202231	embassy_of_germany_ankara
Q348093	lucien_ballard
Q1375280	reston
Q3075375	q
Q18912511	frances_worsley
Q27553766	q
Q693911	bizone
Q4290031	q
Q4290030	q
Q17277114	veronika_vieweghov
Q539694	lauren_iu_ro_u
Q76302	giuseppina_strepponi
Q30337505	q
Q42034	khadijah_bint_khuwaylid
Q20742838	luca_pacioni
Q375419	corey_feldman
Q27554630	q
Q726398	james_gleason
Q1860	english
Q1411180	luxembourg_museum
Q1867	taipei
Q21585595	scooter_newman
Q9146096	alexander_turyn
Q27529354	q
Q15986542	riet_leysen
Q21554763	richard_wheeler
Q42533992	portrait_of_yevdokia_glebova
Q49653	ard
Q5587270	natanael_broman
Q17324050	the_battle_of_cadix
Q30890386	q
Q1077893	chris_van_veen
Q27212102	sonnenaufgang
Q4073580	vladimir_ashurkov
Q33309404	q
Q4452462	tatarsk
Q311421	jan_p_syse
Q374393	alexander_sergeyevich_menshikov
Q311425	guadalupe_victoria
Q1078544	la_ben_te
Q118783	megatrend_university
Q1078542	christfried_berger
28020	
Q27212106	frau
Q1864476	maidan_nezalezhnosti_metrostation
Q155414	la_foncalada
Q20508821	q
Q155413	sainte_agn_s
Q1353173	stefano_colantuono
Q1362076	guilherme_do_prado
Q155419	hans_luther
Q5945835	jos_tono_mart_nez
Q3875865	niccol_galli
Q33317663	q
Q30035588	q
Q321692	jewish_theological_seminary_of_breslau
Q23930931	mihai_ghi
1750-01-01T00:00:00Z	t_z
Q1106742	pat_o_connor
Q2939232	carlo_payer
Q4313954	q
Q23930936	gheorghe_stroe
Q28043946	james_ussher
Q670406	z_rich_opera_house
Q6763524	marilyn_erskine
Q1284005	howard_jerome_keisler
Q4538852	aleksandr_yaroslavsky
Q6763529	moshe_kaveh
Q7803767	tim_kennaugh
Q91883	georg_karl_ignaz_von_fechenbach_zu_laudenbach
Q5947473	juan_antonio_vera_torres
Q2925869	fert_neusiedlersee_cultural_landscape
Q33324817	q
Q18049690	kesang_choden_wangchuk
Q1044924	giovanni_barale
Q1137392	bosgu_rard_de_marcouville
Q433459	kitty_carlisle
Q205638	villeneuve_sur_lot
Q21180	silkeborg
Q721621	francesco_monterisi
Q462969	paula_devicq
Q75655	pierre_de_fermat
Q721625	serge_gakp
Q205631	kroppedal
Q205632	aubervilliers
Q43788	madison
Q558149	don_taylor
Q30035582	q
Q64777	list_of_governors_of_tripura
Q21777206	keinu
Q13383002	q
Q585993	neal_conan
Q16857261	william_dickinson
Q41893225	jean_bri_re
Q352846	bill_kenwright
Q22976085	q
Q22976081	q
Q13055014	q
Q3133051	henry_roujon
Q7751872	sites_of_japan_s_meiji_industrial_revolution_iron_and_steel_shipbuilding_and_coal_mining
Q31031665	q
Q501892	co_verdaas
Q42414936	v_ronique_peaucelle_delelis
Q28052146	sir_hugh_maxwell_casson
Q27536383	q
Q5547309	august_alm_n
Q15728398	mana_pools_national_park_sapi_and_chewore_safari_areas
Q27526833	q
Q697562	armand_de_vignerot_du_plessis
Q4322690	mikhail_novikov
Q156193	pierre_boulez
Q324343	scipione_breislak
Q6220486	john_ballinger
Q156199	electorate_of_saxony
Q24566505	q
Q23757113	helen_battle
Q1751620	murman_railway
Q27535877	q
Q755221	athena_promachos
Q1488127	carlo_buscaglia
Q15407624	jean_yves_andrieux
Q1118506	georgios_kyriazis
Q4452532	q
Q3439061	roger_hamelin
Q5062305	centre_right_alliance
Q4698881	airport
Q30619748	q
Q33534878	q
Q25999060	marin_cioi
Q3221786	albert_j_boes
Q465615	mary_ann_mobley
Q30619743	q
Q23506572	george_karypis
Q17334111	the_judgement_of_paris
Q28007739	hans_beyer
Q33237174	q
Q30619745	q
Q462341	barbara_kwiatkowska_lass
Q37163061	q
Q462343	rosemary_forsyth
Q7791637	thomas_l_j_d_alesandro_iii
Q12724566	botoroaga
Q462349	tanguy_viel
Q27757892	ric_lejoindre
Q29384615	head_of_a_man
